IP Source,IP Destination,Source Port,Destination Port,Protocol,Label
194.237.51.52,63.19.97.74,50602,19579,TCP,C&C-HeartBeat-Attack
135.130.254.234,82.195.90.161,17184,18090,TCP,DDoS
168.29.238.247,117.95.169.106,46530,20389,TCP,Okiru-Attack
119.240.131.64,151.202.118.52,55311,19642,TCP,Benign
185.17.158.213,85.150.204.1,44793,15477,TCP,C&C-Tori
57.104.34.101,135.192.124.213,30779,56488,UDP,C&C-HeartBeat-Attack
28.171.215.214,77.112.206.141,34519,9360,ICMP,C&C-HeartBeat
1.173.251.162,137.16.184.82,53739,10324,ICMP,FileDownload
102.50.222.93,31.88.73.36,50175,11821,UDP,PartOfAHorizontalPortScan
76.46.234.212,220.112.55.30,58752,34616,TCP,Benign
125.48.14.163,221.19.84.232,35471,42780,TCP,DDoS
157.42.236.200,255.147.26.21,18093,56767,TCP,C&C-HeartBeat-FileDownload
118.213.244.60,57.125.69.193,3097,63177,TCP,No Attack
36.104.127.113,97.47.126.86,39824,40305,TCP,PartOfAHorizontalPortScan
221.43.86.206,207.139.103.250,20051,45264,TCP,Benign
59.78.39.158,171.173.148.52,50814,47527,ICMP,DDoS
185.129.160.187,0.120.231.130,47724,63124,ICMP,C&C-Tori
62.160.237.215,191.20.118.128,57608,4189,UDP,C&C-PartOfAHorizontalPortScan-Attack
81.183.133.198,172.241.145.106,10263,7642,TCP,No Attack
63.7.143.252,191.120.54.203,29507,10115,TCP,No Attack
64.115.10.173,155.105.152.78,33313,16846,UDP,PartOfAHorizontalPortScan
33.64.45.36,241.122.49.214,25045,16942,TCP,C&C-Tori
60.235.254.177,180.227.148.99,39226,41885,TCP,C&C-PartOfAHorizontalPortScan-Attack
151.201.159.18,48.142.4.46,28799,24018,TCP,No Attack
221.182.223.95,12.139.149.168,21856,59496,TCP,Okiru-Attack
191.103.103.48,195.93.75.157,48828,50416,UDP,C&C-FileDownload
240.91.192.29,2.30.74.60,53659,41255,TCP,No Attack
27.209.253.153,3.45.10.126,6548,26391,TCP,FileDownload
8.204.13.105,216.46.78.58,50408,45854,TCP,C&C-HeartBeat-FileDownload
187.142.28.153,139.200.184.28,39895,2696,ICMP,C&C-HeartBeat
30.187.217.219,50.215.83.26,53693,34192,TCP,No Attack
210.226.183.211,124.141.107.73,13497,64396,TCP,DDoS
15.180.244.20,56.223.122.218,30683,30184,TCP,Benign
209.65.6.209,131.115.67.24,63179,32548,UDP,PartOfAHorizontalPortScan
155.64.158.103,13.50.117.84,12432,6841,TCP,No Attack
7.146.2.14,152.60.42.126,3565,30561,TCP,Benign
19.84.172.121,224.215.103.145,49667,1436,UDP,C&C-HeartBeat-Attack
141.19.52.38,203.63.70.206,3099,7750,ICMP,Benign
82.43.105.246,30.152.211.84,6334,17417,TCP,DDoS
125.108.60.119,168.218.135.62,24291,23685,TCP,Benign
10.184.183.56,168.118.212.139,25115,32377,TCP,C&C-FileDownload
244.227.90.121,196.128.255.147,26578,24600,ICMP,C&C-Tori
22.93.151.18,169.54.196.163,40014,59917,TCP,C&C-PartOfAHorizontalPortScan-Attack
102.180.82.33,75.68.223.189,3291,32714,TCP,Okiru
180.168.226.117,243.242.238.72,25626,42612,TCP,Okiru
92.205.194.65,230.184.160.123,33008,58026,UDP,C&C-FileDownload
150.205.227.29,227.67.162.155,34746,6560,TCP,Benign
246.197.191.85,142.181.226.62,53124,33663,UDP,No Attack
99.6.63.197,114.212.155.186,1631,53751,TCP,Okiru
208.233.11.231,146.167.111.103,39619,36250,TCP,Benign
179.122.112.89,213.142.51.42,2009,42732,TCP,Benign
226.24.27.156,120.127.176.224,49119,51596,TCP,Okiru-Attack
112.236.114.26,171.75.206.221,15962,32727,ICMP,No Attack
186.75.253.66,142.239.255.152,36616,23900,TCP,DDoS
62.219.111.139,90.226.76.251,29642,58175,TCP,No Attack
170.81.131.46,27.20.62.164,18521,44248,UDP,FileDownload
14.77.52.33,203.13.74.12,24166,10390,TCP,FileDownload
127.77.48.154,169.232.32.195,63873,45279,ICMP,No Attack
42.152.71.141,75.34.70.14,23560,19214,TCP,No Attack
251.44.195.17,211.243.126.36,46430,23975,TCP,Benign
27.235.87.249,4.218.0.8,5907,2253,TCP,FileDownload
163.211.48.168,109.78.225.51,65269,56221,TCP,No Attack
196.177.56.54,71.45.223.255,62325,1147,TCP,DDoS
35.180.116.238,12.33.102.184,49108,27167,TCP,Benign
99.156.38.149,204.60.64.13,8959,51862,TCP,PartOfAHorizontalPortScan
139.53.254.160,108.63.178.181,26930,19260,TCP,No Attack
233.57.57.134,200.29.168.209,36866,48409,UDP,DDoS
124.29.75.19,253.176.54.146,62664,3959,UDP,DDoS
72.167.142.4,223.188.28.34,41087,22222,TCP,Benign
47.212.211.71,53.112.43.126,18576,64708,TCP,Benign
57.135.91.87,197.183.242.146,62107,45921,TCP,DDoS
74.216.99.255,74.3.85.59,64266,46525,TCP,FileDownload
133.136.249.237,156.138.18.126,50928,4855,UDP,DDoS
164.241.251.114,83.202.12.107,36962,18561,TCP,FileDownload
138.165.202.52,36.46.102.99,61770,13565,TCP,Okiru-Attack
149.71.56.37,39.56.85.137,38078,24325,TCP,FileDownload
72.242.95.125,177.126.76.140,55971,5472,TCP,C&C-PartOfAHorizontalPortScan-Attack
244.17.123.59,14.236.23.44,62925,35378,ICMP,No Attack
13.251.206.188,147.20.234.66,32252,16504,ICMP,FileDownload
170.26.82.190,174.19.86.195,36404,7723,TCP,Okiru
110.106.46.168,230.34.22.52,11499,46662,TCP,Benign
77.236.229.35,162.19.240.70,53764,54528,TCP,C&C-Mirai
168.180.210.169,244.135.228.164,51945,8721,TCP,DDoS
234.85.5.191,228.206.22.151,62307,61083,TCP,Benign
92.210.176.169,134.162.26.100,61847,51569,TCP,C&C-HeartBeat-Attack
111.72.83.221,193.178.38.193,2905,15698,UDP,C&C-PartOfAHorizontalPortScan-Attack
158.211.209.137,242.125.199.105,46658,58414,TCP,Benign
91.59.225.193,79.25.88.213,64989,64103,TCP,Benign
215.195.96.145,48.121.206.151,4566,56048,UDP,Benign
74.169.255.75,36.115.110.107,47416,39425,UDP,Benign
47.199.58.237,75.84.140.109,12386,10990,UDP,C&C-HeartBeat-Attack
43.240.15.72,18.233.176.28,50688,38142,TCP,DDoS
11.132.221.205,239.224.41.65,24786,4307,TCP,Okiru
65.134.94.230,173.37.153.75,33571,50863,UDP,Okiru-Attack
139.184.60.241,167.158.57.222,48205,65366,TCP,No Attack
16.177.165.136,166.177.78.207,57339,30980,ICMP,C&C-Tori
87.95.159.218,39.118.252.226,42447,52672,TCP,DDoS
140.244.188.101,190.22.198.220,21790,50697,TCP,C&C-Tori
116.67.237.120,214.158.61.7,28531,42435,TCP,DDoS
119.207.12.95,110.87.131.204,9336,36797,TCP,Benign
231.220.66.21,195.213.73.165,29269,2385,UDP,C&C-Tori
132.106.108.154,162.157.213.252,28688,28731,TCP,DDoS
43.28.87.42,58.50.157.75,48682,29150,TCP,C&C-HeartBeat
245.152.95.93,190.81.25.2,27113,3968,UDP,No Attack
209.170.189.253,23.94.59.216,42532,36527,TCP,C&C-HeartBeat-FileDownload
254.64.231.37,139.185.228.64,62911,40299,TCP,Okiru-Attack
65.140.44.81,102.98.208.197,38784,56542,TCP,Benign
144.39.243.45,131.168.120.253,2655,8514,TCP,DDoS
127.69.132.124,123.139.231.71,57442,43186,TCP,Okiru
52.187.240.244,8.254.66.58,15490,42892,ICMP,C&C-FileDownload
243.33.142.133,31.193.94.164,32195,3247,TCP,Okiru
88.63.59.83,109.10.33.63,17707,16785,TCP,PartOfAHorizontalPortScan
236.255.60.8,111.64.9.189,28633,24859,TCP,Okiru
15.54.67.73,86.188.47.207,47136,18154,TCP,Benign
105.120.183.105,162.122.247.129,52481,53946,ICMP,Okiru-Attack
41.193.207.145,179.123.130.88,26094,29965,TCP,C&C-HeartBeat-FileDownload
21.126.1.76,63.177.62.39,18280,13874,UDP,DDoS
38.201.149.43,26.250.184.175,59695,40728,TCP,DDoS
188.30.46.196,202.170.217.50,38044,37744,TCP,Benign
142.243.121.134,223.180.192.161,55088,63607,TCP,C&C-HeartBeat-Attack
190.92.252.143,218.111.203.251,40062,49572,TCP,C&C-Tori
177.52.26.129,92.195.121.209,64038,64274,TCP,Benign
210.134.24.253,2.41.168.157,29250,43387,TCP,Benign
93.52.158.68,229.74.22.81,58568,13736,TCP,No Attack
243.21.111.233,123.30.6.92,2246,19049,TCP,C&C-PartOfAHorizontalPortScan-Attack
181.5.95.166,14.88.234.161,23229,41645,UDP,No Attack
176.22.60.139,232.23.36.97,53232,43823,TCP,Benign
97.244.31.134,79.223.35.123,20651,56893,UDP,PartOfAHorizontalPortScan
132.214.34.23,31.12.241.31,2520,48479,TCP,Benign
132.62.222.7,25.128.68.116,40179,39420,TCP,PartOfAHorizontalPortScan
120.21.55.39,127.231.110.227,8750,24525,TCP,C&C-Tori
121.157.50.100,130.9.148.88,50034,24186,UDP,C&C-FileDownload
244.0.4.252,97.3.191.37,4219,60879,ICMP,FileDownload
4.200.64.96,133.236.62.100,29251,37944,TCP,FileDownload
138.162.245.220,80.92.113.231,22713,61991,TCP,C&C-HeartBeat
124.116.162.143,221.167.36.14,25830,34004,TCP,Benign
122.67.42.61,72.149.97.190,63518,26027,UDP,Benign
233.86.209.166,68.126.237.26,46714,63455,TCP,PartOfAHorizontalPortScan
198.98.75.179,122.129.9.13,33202,22782,TCP,No Attack
175.61.150.68,150.93.183.33,57557,39950,UDP,DDoS
234.157.241.166,67.12.148.209,55919,20732,TCP,FileDownload
253.182.211.77,198.172.162.230,34199,36498,TCP,No Attack
249.95.26.16,63.46.39.207,8495,63116,UDP,No Attack
185.6.231.153,35.196.35.148,45683,12801,TCP,DDoS
24.77.255.111,230.18.233.130,5444,56351,TCP,Benign
206.169.79.251,246.153.172.31,3579,45292,TCP,C&C-HeartBeat-Attack
57.210.219.228,218.208.27.76,22666,30033,TCP,C&C-Tori
106.238.225.25,200.169.18.128,24957,23567,TCP,PartOfAHorizontalPortScan
215.72.193.211,198.92.144.66,12074,11028,TCP,DDoS
127.189.254.222,161.49.192.39,28444,62282,UDP,Okiru
231.57.193.38,12.86.10.100,36357,15477,ICMP,No Attack
206.2.105.137,103.185.157.233,4842,4796,ICMP,No Attack
39.26.26.214,75.248.10.233,44428,13598,UDP,Benign
13.165.213.242,162.121.77.6,1881,36225,TCP,No Attack
231.42.51.175,115.208.97.42,23608,8103,ICMP,Okiru
153.29.237.205,133.138.7.232,59172,12529,ICMP,Benign
234.172.221.16,194.63.215.62,25070,48565,TCP,FileDownload
97.24.90.140,193.100.82.110,43966,3692,UDP,No Attack
51.31.30.108,224.152.229.131,7802,25363,TCP,No Attack
42.159.164.82,158.48.29.8,3595,17643,TCP,Okiru
105.76.248.163,231.90.77.95,20606,5916,TCP,PartOfAHorizontalPortScan
162.155.135.113,40.120.92.151,3958,30061,TCP,No Attack
94.91.53.24,245.63.102.47,2163,21602,TCP,Okiru-Attack
204.89.155.14,124.53.194.18,62268,17084,TCP,FileDownload
2.66.14.38,233.59.198.136,2966,24952,TCP,No Attack
169.41.239.148,74.193.211.59,33872,17984,TCP,Okiru
198.45.177.75,41.228.248.9,39048,11122,TCP,DDoS
69.230.85.158,82.248.116.59,44621,48648,UDP,No Attack
183.246.150.133,39.229.138.233,43196,30490,TCP,FileDownload
255.163.138.222,61.122.56.118,25732,38361,TCP,Benign
183.145.176.242,76.155.172.11,64177,25096,TCP,No Attack
12.57.78.29,86.74.210.133,9439,6975,TCP,No Attack
227.228.25.179,105.42.92.93,31332,45379,TCP,C&C-FileDownload
64.137.164.140,151.38.146.193,25329,44730,TCP,Okiru
38.68.91.145,251.108.122.47,51673,22837,UDP,PartOfAHorizontalPortScan-Attack
120.244.242.147,4.78.45.26,54446,55306,TCP,No Attack
123.32.37.203,113.122.59.250,36022,9183,TCP,Benign
148.163.132.143,209.175.172.139,52119,65049,TCP,Benign
184.102.8.54,160.90.56.118,63897,38901,TCP,FileDownload
157.252.201.42,18.93.24.132,36128,22330,ICMP,Benign
54.22.223.195,138.221.107.134,47350,4216,UDP,Benign
237.194.182.172,221.100.175.104,48058,30740,TCP,C&C-FileDownload
62.25.103.135,63.240.93.153,33536,48535,TCP,Benign
161.15.251.134,207.142.251.30,54206,61754,TCP,No Attack
173.120.62.231,234.76.241.198,20461,8496,UDP,C&C-PartOfAHorizontalPortScan-Attack
2.42.204.102,128.221.124.156,10547,15613,TCP,FileDownload
62.130.84.175,145.208.65.213,49590,49858,TCP,C&C-HeartBeat
18.99.11.32,175.226.155.6,29762,38737,TCP,C&C-HeartBeat
158.165.56.80,244.174.212.109,2135,49480,TCP,PartOfAHorizontalPortScan
33.189.181.137,5.199.208.142,31618,38397,TCP,No Attack
89.208.137.150,39.59.195.119,43958,16464,TCP,Benign
149.177.151.17,18.33.232.17,56722,21595,TCP,C&C-HeartBeat-Attack
246.223.23.97,154.238.13.180,26873,44468,TCP,Okiru-Attack
136.187.236.47,31.181.75.226,37152,58204,UDP,C&C-HeartBeat
254.216.194.113,74.49.185.11,28575,52188,TCP,No Attack
20.48.172.98,26.79.109.210,39881,24050,TCP,Benign
24.194.189.236,252.137.111.6,43275,10271,UDP,No Attack
68.171.243.10,211.20.74.195,22706,13182,TCP,C&C-Tori
32.59.205.216,197.251.171.20,36417,43126,ICMP,No Attack
182.240.129.209,126.195.247.58,44098,62075,TCP,Okiru-Attack
10.240.130.156,229.40.214.173,25439,17873,ICMP,C&C-FileDownload
196.93.202.141,183.106.203.235,1416,47904,TCP,No Attack
8.86.24.12,193.104.186.177,35289,2137,TCP,Okiru-Attack
218.129.187.205,69.7.21.203,2763,39689,TCP,Okiru
246.244.175.40,61.207.31.11,57762,44389,TCP,Benign
174.86.132.42,193.240.24.218,42421,1970,UDP,Benign
51.226.211.249,34.203.60.67,49057,45748,ICMP,C&C-FileDownload
39.207.41.205,163.5.208.38,12450,60659,TCP,C&C-FileDownload
130.123.181.147,39.34.48.217,4886,47769,TCP,Benign
92.142.205.178,125.94.21.58,15286,4985,UDP,C&C-HeartBeat-Attack
244.59.91.5,130.16.101.60,16485,50503,TCP,No Attack
252.138.249.179,82.114.223.39,63349,19417,UDP,C&C-PartOfAHorizontalPortScan-Attack
36.105.157.161,204.23.1.131,56520,31008,UDP,Benign
228.201.128.92,157.66.135.93,7570,52961,TCP,C&C-HeartBeat-FileDownload
228.55.133.109,153.255.86.3,5296,54703,TCP,DDoS
133.195.174.43,43.77.250.106,14731,60809,UDP,Benign
150.228.41.234,100.245.85.212,15117,24813,TCP,Benign
203.129.149.233,71.68.170.24,50112,52161,ICMP,Benign
188.50.107.136,60.153.45.2,36495,43341,TCP,DDoS
98.33.42.29,65.148.219.45,14715,56475,TCP,Benign
57.155.65.173,130.223.204.251,4000,61924,TCP,Okiru-Attack
131.118.98.88,4.209.108.205,36888,32803,TCP,C&C-FileDownload
172.175.143.225,17.133.4.63,16488,60691,TCP,C&C-HeartBeat-Attack
114.13.203.233,156.68.27.236,22864,5166,TCP,C&C-HeartBeat
24.130.222.53,213.144.136.75,18545,51390,UDP,Benign
67.206.247.182,28.97.198.114,51829,51578,TCP,Benign
206.221.4.253,2.77.162.106,40497,19889,UDP,Okiru-Attack
156.115.174.247,179.9.97.149,35591,23262,TCP,C&C-Mirai
236.101.23.28,235.209.26.15,41194,60924,UDP,DDoS
28.21.81.103,101.15.74.143,12450,40118,UDP,No Attack
62.167.119.206,120.57.93.76,9398,27648,TCP,No Attack
45.111.233.107,215.49.213.12,50298,63885,TCP,Benign
254.236.16.224,129.71.32.0,31638,42695,TCP,C&C-FileDownload
109.203.176.143,180.241.74.228,27190,31406,UDP,No Attack
35.194.63.239,175.35.255.57,6190,52718,TCP,C&C-FileDownload
193.234.69.37,173.219.19.73,16318,47325,TCP,PartOfAHorizontalPortScan
217.57.155.165,78.31.9.82,19536,10515,TCP,C&C-FileDownload
1.166.38.138,161.181.3.56,24531,14762,TCP,No Attack
94.182.176.141,192.196.225.206,3968,33360,TCP,Benign
254.88.44.76,128.195.3.50,62066,28538,TCP,C&C-Tori
27.133.188.177,236.103.150.125,38452,3254,TCP,Okiru-Attack
153.88.78.148,24.149.245.98,25972,39729,TCP,DDoS
209.13.83.1,5.148.173.198,56625,5724,UDP,C&C-HeartBeat-Attack
9.14.98.81,208.199.15.81,3172,48681,ICMP,Benign
77.247.222.138,150.184.69.144,28374,57376,TCP,No Attack
218.70.88.83,41.156.228.171,30338,32702,TCP,Benign
133.17.169.73,12.33.164.119,55860,37285,TCP,No Attack
203.72.141.37,2.162.138.196,60857,11288,TCP,C&C-PartOfAHorizontalPortScan-Attack
172.111.246.223,183.135.120.218,41055,28940,TCP,C&C-HeartBeat
70.146.51.1,112.234.154.45,32292,34838,UDP,Okiru
94.116.242.158,59.31.109.2,59075,47149,TCP,C&C-PartOfAHorizontalPortScan-Attack
144.173.245.208,95.227.150.43,17273,4185,TCP,C&C-Tori
144.112.109.143,162.45.69.72,10199,36659,TCP,No Attack
122.37.63.187,201.15.90.242,38385,32787,TCP,Okiru-Attack
47.49.203.81,79.151.178.163,15711,57455,UDP,PartOfAHorizontalPortScan
60.19.144.203,145.113.221.227,15138,62637,TCP,Benign
68.210.24.178,127.73.107.27,30394,58480,TCP,No Attack
29.74.129.28,129.116.17.116,13445,15532,TCP,No Attack
184.109.229.54,179.57.231.86,49746,59801,TCP,C&C-PartOfAHorizontalPortScan-Attack
182.73.62.169,44.76.24.86,37503,3017,TCP,DDoS
206.77.192.98,199.74.240.163,8861,43110,TCP,No Attack
202.30.75.107,141.143.129.151,59646,31736,TCP,C&C-Tori
255.87.191.217,54.178.24.255,8608,4615,TCP,Benign
77.66.179.13,65.215.24.73,27319,62782,TCP,No Attack
35.125.43.17,160.32.38.112,2963,34374,TCP,Okiru
198.39.97.156,183.75.68.128,37194,30993,UDP,Benign
124.226.10.47,115.232.54.145,47898,27255,ICMP,Benign
142.224.176.135,36.43.76.167,47394,55784,TCP,C&C-HeartBeat-FileDownload
183.238.204.152,80.197.60.36,26899,64463,TCP,C&C-PartOfAHorizontalPortScan-Attack
252.183.65.64,185.23.77.33,58026,36696,TCP,C&C-HeartBeat
249.176.46.160,102.157.158.156,30215,23781,TCP,PartOfAHorizontalPortScan
21.207.123.102,189.14.163.0,23430,37549,TCP,Okiru
155.221.88.179,31.159.203.85,40684,8601,TCP,No Attack
66.21.192.11,147.246.22.224,19142,47090,TCP,No Attack
66.172.165.204,34.81.66.228,17411,31610,TCP,Benign
61.115.121.221,29.171.13.183,31898,60201,TCP,Okiru-Attack
155.236.68.63,146.229.110.60,27011,8268,TCP,Benign
7.251.80.91,225.195.29.116,14131,56372,TCP,Okiru
163.170.154.185,5.46.53.62,55441,2225,UDP,C&C-FileDownload
25.241.170.46,68.110.212.30,43734,21541,TCP,Okiru-Attack
94.35.181.74,33.192.8.27,32200,41841,TCP,DDoS
36.237.160.134,247.55.235.30,56042,26698,TCP,DDoS
232.169.48.216,64.122.178.52,8562,30978,UDP,C&C-HeartBeat-Attack
156.103.95.56,215.101.151.143,21915,24242,TCP,DDoS
106.36.55.236,131.218.210.209,54334,35529,TCP,No Attack
30.60.45.213,207.202.240.180,26302,10072,TCP,C&C-HeartBeat-Attack
184.34.180.46,28.56.64.86,19573,27827,ICMP,No Attack
43.68.138.129,131.120.227.63,65362,18086,TCP,No Attack
153.41.22.41,171.192.155.198,42348,14913,UDP,No Attack
229.85.40.103,7.27.199.211,44297,51245,UDP,No Attack
60.94.44.85,192.94.15.229,50867,9191,TCP,DDoS
55.17.242.44,226.119.11.255,30972,33470,TCP,FileDownload
95.120.119.186,97.26.67.232,28409,53274,TCP,C&C-PartOfAHorizontalPortScan-Attack
97.202.230.83,121.45.216.181,27186,3921,UDP,C&C-HeartBeat-Attack
22.164.215.93,207.68.128.229,45158,16771,TCP,Benign
142.246.164.163,115.38.232.124,57898,13009,UDP,C&C-HeartBeat
70.132.142.117,125.109.16.248,18703,49323,TCP,No Attack
61.25.136.35,17.235.157.155,5042,48297,TCP,C&C-Tori
62.203.144.182,79.49.249.122,58793,37605,TCP,C&C-HeartBeat-Attack
96.56.208.218,53.153.148.53,39212,32157,TCP,No Attack
4.135.62.99,180.141.35.59,26817,48374,TCP,Okiru
136.43.162.168,198.146.130.52,25287,25273,TCP,DDoS
220.47.52.53,246.39.168.243,39866,6395,TCP,C&C-FileDownload
125.185.138.86,68.50.202.185,63921,37563,TCP,Benign
209.159.103.5,214.12.135.94,54943,43181,UDP,No Attack
29.188.15.106,61.152.47.188,47577,40577,TCP,No Attack
207.118.113.33,118.223.196.208,51873,10771,TCP,Benign
101.200.51.212,159.94.5.67,40236,38299,TCP,DDoS
130.114.193.243,128.81.235.90,11523,47628,UDP,FileDownload
207.199.12.4,91.2.255.248,52760,11106,ICMP,Benign
86.11.121.197,0.245.126.92,61139,19949,TCP,DDoS
57.215.4.43,40.75.63.197,61444,33519,UDP,C&C-HeartBeat-Attack
125.99.200.165,88.39.177.227,40130,62853,TCP,Benign
136.178.116.122,59.248.167.38,49044,3735,UDP,FileDownload
146.159.125.126,238.194.78.204,8575,37996,UDP,PartOfAHorizontalPortScan
224.132.139.22,225.9.193.166,64782,60615,TCP,C&C-Tori
61.28.213.57,105.0.133.73,3595,51747,UDP,PartOfAHorizontalPortScan
184.130.67.49,183.153.57.211,63561,6238,UDP,C&C-HeartBeat-Attack
8.68.229.251,13.111.161.108,12016,36329,TCP,C&C-Tori
174.149.154.67,176.181.164.168,44610,2584,TCP,PartOfAHorizontalPortScan
27.251.201.20,233.18.119.71,18424,3914,TCP,No Attack
43.24.76.239,13.199.76.152,29531,50034,TCP,No Attack
201.244.110.220,119.136.108.210,48081,3538,TCP,Benign
75.244.196.244,146.98.225.225,31659,39135,UDP,No Attack
103.135.240.239,235.98.140.213,37811,32263,TCP,DDoS
235.129.198.118,60.94.164.150,31765,59272,TCP,Benign
20.119.227.223,191.197.38.20,56237,54562,TCP,FileDownload
254.178.62.204,150.27.118.216,59955,19974,TCP,No Attack
224.25.74.203,207.10.182.136,64629,21013,UDP,C&C-HeartBeat-Attack
205.7.197.166,17.206.169.30,58672,64226,TCP,C&C-PartOfAHorizontalPortScan-Attack
100.238.3.183,198.178.82.161,59500,30096,TCP,DDoS
144.42.217.84,95.175.85.32,63000,35951,TCP,Okiru-Attack
169.12.44.208,87.171.80.148,31700,9157,ICMP,PartOfAHorizontalPortScan
4.199.48.129,205.159.218.206,22355,50513,UDP,C&C-HeartBeat
51.102.194.134,36.18.151.24,45791,38278,UDP,DDoS
235.99.79.162,24.91.64.71,14350,34680,UDP,Benign
248.154.53.58,154.28.174.137,1173,5184,ICMP,C&C-HeartBeat
109.39.38.154,28.139.102.32,58351,46260,TCP,C&C-HeartBeat
132.117.70.215,38.230.254.69,48604,58405,UDP,Okiru
65.93.50.26,229.128.180.42,35237,4800,UDP,Okiru-Attack
32.76.79.228,141.118.169.146,6345,56619,ICMP,Benign
131.117.53.63,54.189.21.5,5765,59789,TCP,C&C-Tori
69.2.79.174,63.33.238.1,50416,37999,UDP,DDoS
242.111.9.251,11.212.191.221,56287,31294,TCP,Benign
254.196.54.152,194.91.6.124,38834,7835,TCP,No Attack
201.141.14.204,178.120.110.98,22798,59005,TCP,DDoS
206.129.199.97,207.240.83.225,35278,44200,UDP,Benign
14.173.50.71,107.93.48.99,13737,9291,TCP,C&C-HeartBeat
107.182.236.47,41.192.80.31,26004,64954,TCP,No Attack
67.84.37.15,76.240.49.2,60580,31664,TCP,Okiru
169.103.106.190,179.114.75.120,24878,20882,UDP,No Attack
231.186.1.21,88.168.143.9,30547,36306,TCP,Okiru-Attack
136.182.148.251,95.109.228.202,60203,47610,TCP,Benign
168.61.98.91,212.212.25.131,2825,53368,TCP,PartOfAHorizontalPortScan
200.142.78.86,104.101.18.127,54750,9256,ICMP,No Attack
29.85.212.118,66.10.29.150,22589,65301,UDP,PartOfAHorizontalPortScan-Attack
145.16.190.160,10.57.246.119,4574,5535,TCP,Benign
106.179.39.97,131.14.192.221,29851,23337,TCP,Benign
132.166.240.233,46.140.66.9,1831,41590,UDP,C&C-HeartBeat
9.8.162.59,127.82.144.110,23773,63017,UDP,C&C-HeartBeat-Attack
30.146.128.154,97.91.207.119,63359,53708,TCP,C&C-FileDownload
111.208.204.82,20.17.235.189,64782,16146,UDP,No Attack
196.174.36.5,118.40.253.38,50063,12804,TCP,Benign
31.170.130.182,184.173.201.110,38977,36670,TCP,Okiru
78.134.69.30,248.26.154.248,47530,30258,UDP,No Attack
242.240.5.169,170.242.178.178,5733,3577,TCP,C&C-FileDownload
226.113.203.110,158.7.5.81,44194,17744,ICMP,Benign
242.73.211.229,226.121.229.95,55182,49710,TCP,C&C-HeartBeat-Attack
53.5.249.162,40.186.255.72,28877,57052,TCP,PartOfAHorizontalPortScan
86.198.151.245,90.199.174.149,25208,17515,UDP,No Attack
59.134.111.148,254.6.41.154,48508,24950,TCP,PartOfAHorizontalPortScan
